Date,Max speed,Average Speed,Distance,Travel Time,Stopped Time,Traffic Level,Ride Quality,Backride,Fuel Consumption,Max Alt,,
15-Dec-25,90.8 kph,20.4 kph,46.8 km,129 mins,631 seconds ,2,Aggressive,0.5,1 L,67 m,,
16-Dec-25,69.6 kph,18.7 kph,51.7 km,147 mins,1295 seconds,4,Aggressive,0,1.46 L,49 m,,
17-Dec-25,80.9 kph,21.1 kph,96.3 km,261 mins,1578 seconds,3,Normal,0.5,2.05 L,78.8 m,,
20-Dec-25,93.4 kph,22.2 kph,111.1 km,286 mins,1560 seconds,2,Aggressive,0.5,3.07 L,79.5 m,,
24-Dec,86.1 kph,20.1 kph,107.9 km,300 mins,1774 secons ,2,Normal,0.5,3.25 L,85.9 m,,
26-Dec-25,60.1 kph,18.4 kph,64.4 km,193 mins,720 seconds,1,Slow,0.5,1.58 L,77.8 m,,
28-Dec-25,90.8 kph,25.4 kph,155.7 km,339 mins,2353 seconds,2,Aggressive,0.75,3.64 L,620 m,,
1-Jan-26,85.6 kph,25.1 kph,92.3 km,209 mins,1606 seconds,2,Aggressive,0.5,2.45 L,79.9 m,,
6-Jan-26,84.5 kph,25.8 kph,49 km,106 mins,951 seconds,1,Aggressive,0.5,1.52 L,31 m,,
7-Jan-26,69.4 kph,20.6 kph,42 km,115 mins,751 seconds,1,Normal,0.5,1.02 L,79.7 m,,
9-Jan-26,79.2 kph,17.9 kph,106.1 km,325 mins,2427 seconds,4,Aggressive,0.75,2.83 L,35 m,,
12-Jan-26,75.7 kph,26.2 kph,86.1 km,190 mins,803 seconds,1,Normal,0.75,1.95 L,89 m,,
13-Jan-26,86.1 kph,26.4 kph,152.4 km,320 mins,2114 seconds,2,Aggressive,0.25,3.47 L,46.9 m,,
15-Jan-26,90.5 kph,22.3 kph,125.7 km,321 mins,2109 seconds,3,Aggressive,0.5,3.23 L,78.3 m,,
19-Jan,72.5 kph,20.2 kph,134.7 km,381 mins,2686 seconds,3,Normal,0.75,3.09 L,78.2 m,,
24-Jan-26,90.6 kph,27 kph,71.5 km,152 mins,811 seconds,1,Aggressive,0.75,1.72 L,78.7 m,,
26-Jan-26,73.3 kph,22.8 kph,65.6 km,163 mins,1673 seconds,3,Normal,0.75,1.51 L,42.3 m,,
28-Jan-26,71.1 kph,20.1 kph,97 km,273 mins,1678 seconds,2,Normal,0.5,2.59 L,78.3 m,,
1-Feb-26,90.7 kph,20.8 kph,57.6 km,156 mins,755 seconds,1,Aggressive,0.75,1.59 L,82 m,,
,,,,,,,,,,,,
,,,,,,,,,,,,
